,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Clinton-N'Jie,5.5,3.0,13.0,7.0,53.84615384615385,2.3636363636363638,1.2727272727272727,0.23076923076923078,0.42857142857142855,36.0,0.0,0.0,0.0,1.1,1.1,0.08461538461538462,1.9000000000000001,1.9000000000000001
Denis-Bouanga,29.3,8.0,88.0,33.0,37.5,3.0034129692832763,1.1262798634812285,0.09090909090909091,0.24242424242424243,19.1,0.0,0.0,0.0,7.3,7.3,0.08295454545454545,0.7,0.7
Ryad-Boudebouz,14.2,1.0,21.0,8.0,38.095238095238095,1.4788732394366197,0.5633802816901409,0.047619047619047616,0.125,39.1,1.0,0.0,0.0,1.6,1.6,0.0761904761904762,-0.6,-0.6
Ivan-Santini,4.0,0.0,8.0,1.0,12.5,2.0,0.25,0.0,0.0,13.4,0.0,0.0,0.0,0.5,0.5,0.0625,-0.5,-0.5
Takashi-Inui,15.599999999999998,2.0,35.0,9.0,25.71428571428571,2.243589743589744,0.576923076923077,0.05714285714285714,0.2222222222222222,59.0,0.0,0.0,0.0,3.3,3.3,0.09428571428571428,-1.3,-1.3
Stephen-Odey,7.2,1.0,19.0,4.0,21.052631578947366,2.638888888888889,0.5555555555555556,0.05263157894736842,0.25,14.6,0.0,0.0,0.0,2.7,2.7,0.14210526315789473,-1.7,-1.7
Darwin-Machís,5.1,0.0,18.0,3.0,16.666666666666664,3.5294117647058827,0.5882352941176471,0.0,0.0,21.4,0.0,0.0,0.0,1.3,1.3,0.07222222222222223,-1.3,-1.3
Sory-Kaba,2.6,0.0,1.0,0.0,0.0,0.3846153846153846,0.0,0.0,,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaël-Kakuta,8.0,1.0,5.0,0.0,0.0,0.625,0.0,0.2,inf,20.6,1.0,1.0,1.0,1.2,0.4,0.08,-0.2,-0.4
Casimir-Ninga,27.4,6.0,52.0,17.0,32.69230769230769,1.8978102189781023,0.6204379562043796,0.11538461538461539,0.35294117647058826,17.5,0.0,1.0,1.0,6.0,5.2,0.1,0.0,-0.2
